Timestamp,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Usage(%),GPU_Memory_Access_Usage(%)
2024-06-22 18:34:37,2.46,5.94,13,15.25,3
2024-06-22 18:34:39,99.25,7.58,2,18.64,0
2024-06-22 18:34:42,3.94,7.58,98,47.63,47
2024-06-22 18:34:44,5.05,7.58,98,47.63,47
2024-06-22 18:34:46,5.14,7.58,98,47.63,47
2024-06-22 18:34:48,5.05,7.58,98,47.63,45
2024-06-22 18:34:51,5.07,7.58,98,47.63,45
2024-06-22 18:34:53,5.07,7.58,98,47.63,44
2024-06-22 18:34:55,4.78,7.58,98,47.63,43
2024-06-22 18:34:57,4.85,7.58,98,47.63,44
2024-06-22 18:34:59,5.07,7.58,98,47.63,47
2024-06-22 18:35:02,5.26,7.58,98,47.63,51
2024-06-22 18:35:04,5.45,7.58,98,47.63,56
2024-06-22 18:35:06,5.58,7.58,98,47.63,56
2024-06-22 18:35:08,5.62,7.58,98,47.63,55
2024-06-22 18:35:10,5.54,7.58,98,47.63,55
2024-06-22 18:35:13,5.61,7.58,98,47.63,53
2024-06-22 18:35:15,5.66,7.58,98,47.63,52
2024-06-22 18:35:17,5.71,7.58,98,47.63,53
2024-06-22 18:35:19,5.64,7.58,98,47.63,53
2024-06-22 18:35:21,5.48,7.58,98,47.63,53
2024-06-22 18:35:24,5.67,7.58,98,47.63,53
2024-06-22 18:35:26,5.57,7.58,98,47.63,53
2024-06-22 18:35:28,5.43,7.58,98,47.63,53
2024-06-22 18:35:30,5.60,7.58,98,47.63,54
2024-06-22 18:35:32,5.48,7.58,98,47.63,54
2024-06-22 18:35:35,5.49,7.58,98,47.63,54
2024-06-22 18:35:37,5.09,7.58,98,47.63,54
2024-06-22 18:35:39,5.63,7.58,98,47.63,54
2024-06-22 18:35:41,6.15,7.58,98,47.63,55
2024-06-22 18:35:43,5.38,7.58,98,47.63,55
2024-06-22 18:35:46,5.42,7.58,98,47.63,56
2024-06-22 18:35:48,4.96,7.58,98,47.63,47
2024-06-22 18:35:50,4.86,7.58,98,47.63,46
2024-06-22 18:35:52,4.97,7.58,98,47.63,46
2024-06-22 18:35:55,5.01,7.58,98,47.63,48
2024-06-22 18:35:57,5.07,7.58,98,47.63,46
2024-06-22 18:35:59,4.78,7.58,98,47.63,48
2024-06-22 18:36:01,4.67,7.58,98,47.63,48
2024-06-22 18:36:03,4.92,7.58,98,47.63,48
2024-06-22 18:36:06,5.09,7.58,98,47.62,46
2024-06-22 18:36:08,5.02,7.58,98,47.62,46
2024-06-22 18:36:10,4.96,7.58,98,47.62,47
2024-06-22 18:36:12,5.04,7.58,98,47.62,46
2024-06-22 18:36:14,4.77,7.58,98,47.62,48
2024-06-22 18:36:17,5.00,7.58,98,47.62,46
2024-06-22 18:36:19,4.90,7.58,98,47.62,49
2024-06-22 18:36:21,4.74,7.58,98,47.62,48
2024-06-22 18:36:23,4.84,7.58,98,47.62,47
2024-06-22 18:36:25,5.13,7.58,98,47.62,46
2024-06-22 18:36:28,5.47,7.58,98,47.62,48
2024-06-22 18:36:30,5.03,7.58,98,47.62,47
2024-06-22 18:36:32,5.04,7.58,98,47.62,48
2024-06-22 18:36:34,4.93,7.58,98,47.62,47
2024-06-22 18:36:36,5.12,7.58,98,47.62,47
2024-06-22 18:36:39,4.95,7.58,98,47.62,47
2024-06-22 18:36:41,4.96,7.58,98,47.62,49
2024-06-22 18:36:43,5.00,7.58,98,47.62,48
2024-06-22 18:36:45,5.03,7.58,98,47.62,48
2024-06-22 18:36:47,4.89,7.58,98,47.62,48
2024-06-22 18:36:49,4.91,7.58,98,47.62,48
2024-06-22 18:36:52,5.01,7.58,98,47.62,48
2024-06-22 18:36:54,5.06,7.58,98,47.62,48
2024-06-22 18:36:56,5.05,7.58,98,47.62,48
2024-06-22 18:36:58,5.01,7.58,98,47.62,49
2024-06-22 18:37:00,4.94,7.58,98,47.62,48
