Timestamp,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Usage(%),GPU_Memory_Access_Usage(%)
2024-06-25 15:52:26,13.06,2.82,22,9.57,0
2024-06-25 15:52:28,6.00,2.82,98,18.23,56
2024-06-25 15:52:31,6.27,2.82,98,18.23,53
2024-06-25 15:52:33,3.54,2.82,98,18.23,53
2024-06-25 15:52:35,3.53,2.82,98,18.23,52
2024-06-25 15:52:37,5.91,2.82,98,18.23,51
2024-06-25 15:52:40,6.59,2.82,98,18.23,51
2024-06-25 15:52:42,6.48,2.82,98,18.23,56
2024-06-25 15:52:44,6.14,2.82,98,18.23,57
2024-06-25 15:52:46,6.38,2.82,98,18.23,55
2024-06-25 15:52:49,6.68,2.82,98,18.23,56
2024-06-25 15:52:51,5.42,2.82,98,18.23,57
2024-06-25 15:52:53,3.43,2.82,98,18.23,58
2024-06-25 15:52:55,4.09,2.82,98,18.23,57
