Timestamp,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Usage(%)
2024-06-17 13:01:15,0.00,0.01,0, 3
2024-06-17 13:01:16,0.00,2.87,0, 0
2024-06-17 13:01:17,0.01,6.14,35, 20
2024-06-17 13:01:18,0.02,7.00,30, 17
2024-06-17 13:01:20,0.03,7.27,35, 19
2024-06-17 13:01:21,0.03,7.77,48, 26
2024-06-17 13:01:22,0.04,7.92,34, 19
2024-06-17 13:01:23,0.05,7.92,29, 16
2024-06-17 13:01:25,0.06,7.93,37, 19
2024-06-17 13:01:26,0.07,7.94,33, 17
2024-06-17 13:01:27,0.08,7.81,40, 21
2024-06-17 13:01:28,0.08,7.85,43, 22
2024-06-17 13:01:29,0.09,7.86,49, 26
2024-06-17 13:01:31,0.10,7.85,45, 23
2024-06-17 13:01:32,0.11,7.86,51, 25
2024-06-17 13:01:33,0.12,7.87,54, 26
2024-06-17 13:01:34,0.13,7.88,70, 34
2024-06-17 13:01:36,0.13,7.87,48, 23
2024-06-17 13:01:37,0.14,7.86,81, 38
2024-06-17 13:01:38,0.15,8.34,41, 19
2024-06-17 13:01:39,0.16,8.39,53, 25
2024-06-17 13:01:41,0.17,8.38,82, 40
2024-06-17 13:01:42,0.18,9.14,40, 20
2024-06-17 13:01:43,0.19,9.19,57, 29
2024-06-17 13:01:44,0.19,9.19,44, 22
2024-06-17 13:01:46,0.20,9.13,49, 24
2024-06-17 13:01:47,0.21,9.20,53, 27
2024-06-17 13:01:48,0.22,9.22,52, 26
2024-06-17 13:01:49,0.23,9.22,41, 21
2024-06-17 13:01:50,0.24,9.22,38, 19
2024-06-17 13:01:52,0.24,9.22,44, 22
2024-06-17 13:01:53,0.25,9.22,40, 20
2024-06-17 13:01:54,0.26,9.23,42, 22
2024-06-17 13:01:55,0.27,9.23,40, 21
2024-06-17 13:01:57,0.28,9.24,39, 21
2024-06-17 13:01:58,0.29,9.23,37, 19
2024-06-17 13:01:59,0.29,9.23,32, 17
2024-06-17 13:02:00,0.30,9.23,38, 20
2024-06-17 13:02:02,0.31,9.26,41, 21
2024-06-17 13:02:03,0.32,9.23,34, 18
2024-06-17 13:02:04,0.33,9.24,39, 20
2024-06-17 13:02:05,0.34,9.25,38, 20
2024-06-17 13:02:07,0.35,9.29,42, 22
2024-06-17 13:02:08,0.35,9.29,43, 23
2024-06-17 13:02:09,0.36,9.29,35, 19
2024-06-17 13:02:10,0.37,9.29,40, 21
2024-06-17 13:02:12,0.38,9.29,47, 26
2024-06-17 13:02:13,0.39,9.29,40, 21
2024-06-17 13:02:14,0.40,9.29,41, 21
2024-06-17 13:02:15,0.40,9.30,44, 23
2024-06-17 13:02:16,0.41,9.29,40, 21
2024-06-17 13:02:18,0.42,9.30,41, 22
2024-06-17 13:02:19,0.43,9.30,43, 23
2024-06-17 13:02:20,0.44,9.30,38, 21
2024-06-17 13:02:21,0.45,9.30,32, 17
2024-06-17 13:02:23,0.45,9.30,44, 24
2024-06-17 13:02:24,0.46,9.30,43, 24
2024-06-17 13:02:25,0.47,9.30,26, 14
2024-06-17 13:02:26,0.48,9.32,37, 20
2024-06-17 13:02:28,0.49,9.31,38, 20
2024-06-17 13:02:29,0.50,6.61,2, 0
